[2025-01-24T23:14:17.136+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-24T23:14:17.155+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T23:12:54.176269+00:00 [queued]>
[2025-01-24T23:14:17.165+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T23:12:54.176269+00:00 [queued]>
[2025-01-24T23:14:17.165+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 3
[2025-01-24T23:14:17.182+0000] {taskinstance.py:2888} INFO - Executing <Task(PreprocessDocuments): preprocess_documents_task> on 2025-01-24 23:12:54.176269+00:00
[2025-01-24T23:14:17.203+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=560) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-24T23:14:17.613+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-22-22.pdf already broken down into
[2025-01-24T23:14:17.613+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-23-23.pdf already broken down into
[2025-01-24T23:14:17.614+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-24-24.pdf already broken down into
[2025-01-24T23:14:17.614+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-25-25.pdf already broken down into
[2025-01-24T23:14:17.615+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-26-26.pdf already broken down into
[2025-01-24T23:14:17.615+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-27-27.pdf already broken down into
[2025-01-24T23:14:17.616+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-28-28.pdf already broken down into
[2025-01-24T23:14:17.616+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-29-29.pdf already broken down into
[2025-01-24T23:14:17.617+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-30-30.pdf already broken down into
[2025-01-24T23:14:17.617+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-31-31.pdf already broken down into
[2025-01-24T23:14:17.618+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-32-32.pdf already broken down into
[2025-01-24T23:14:17.618+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-33-33.pdf already broken down into
[2025-01-24T23:14:17.619+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-34-34.pdf already broken down into
[2025-01-24T23:14:17.619+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-35-35.pdf already broken down into
[2025-01-24T23:14:17.620+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-36-36.pdf already broken down into
[2025-01-24T23:14:17.620+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-37-37.pdf already broken down into
[2025-01-24T23:14:17.621+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-38-38.pdf already broken down into
[2025-01-24T23:14:17.621+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-39-39.pdf already broken down into
[2025-01-24T23:14:17.622+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-40-40.pdf already broken down into
[2025-01-24T23:14:17.622+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-41-41.pdf already broken down into
[2025-01-24T23:14:17.623+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-42-42.pdf already broken down into
[2025-01-24T23:14:17.624+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-43-43.pdf already broken down into
[2025-01-24T23:14:17.625+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-44-44.pdf already broken down into
[2025-01-24T23:14:17.626+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-28_7142-page-45-45.pdf already broken down into
[2025-01-24T23:14:17.628+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-11-29_7143.pdf into multiple PDF single pages
[2025-01-24T23:14:17.691+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-0-0.pdf already broken down into
[2025-01-24T23:14:17.692+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-1-1.pdf already broken down into
