[2025-01-24T22:33:34.944+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-24T22:33:34.958+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [queued]>
[2025-01-24T22:33:34.964+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [queued]>
[2025-01-24T22:33:34.965+0000] {taskinstance.py:2865} INFO - Starting attempt 16 of 16
[2025-01-24T22:33:36.973+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-0-0.pdf already broken down into
[2025-01-24T22:33:36.974+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-1-1.pdf already broken down into
[2025-01-24T22:33:36.974+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-2-2.pdf already broken down into
[2025-01-24T22:33:36.974+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-3-3.pdf already broken down into
[2025-01-24T22:33:36.975+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-4-4.pdf already broken down into
[2025-01-24T22:33:36.975+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-5-5.pdf already broken down into
[2025-01-24T22:33:36.976+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-6-6.pdf already broken down into
[2025-01-24T22:33:36.976+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-7-7.pdf already broken down into
[2025-01-24T22:33:36.976+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-8-8.pdf already broken down into
[2025-01-24T22:33:36.977+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-9-9.pdf already broken down into
[2025-01-24T22:33:36.977+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-10-10.pdf already broken down into
[2025-01-24T22:33:36.978+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-11-11.pdf already broken down into
[2025-01-24T22:33:36.978+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-12-12.pdf already broken down into
[2025-01-24T22:33:36.978+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-13-13.pdf already broken down into
[2025-01-24T22:33:36.979+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-14-14.pdf already broken down into
[2025-01-24T22:33:36.979+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-15-15.pdf already broken down into
[2025-01-24T22:33:36.980+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-16-16.pdf already broken down into
[2025-01-24T22:33:36.980+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-17-17.pdf already broken down into
[2025-01-24T22:33:36.981+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-18-18.pdf already broken down into
[2025-01-24T22:33:36.981+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-19-19.pdf already broken down into
[2025-01-24T22:33:36.981+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-20-20.pdf already broken down into
[2025-01-24T22:33:36.982+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-21-21.pdf already broken down into
[2025-01-24T22:33:36.982+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-22-22.pdf already broken down into
[2025-01-24T22:33:36.983+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-23-23.pdf already broken down into
[2025-01-24T22:33:36.983+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-24-24.pdf already broken down into
[2025-01-24T22:33:36.983+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-25-25.pdf already broken down into
[2025-01-24T22:33:36.984+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-26-26.pdf already broken down into
[2025-01-24T22:33:36.984+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-27-27.pdf already broken down into
[2025-01-24T22:33:36.985+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-28-28.pdf already broken down into
[2025-01-24T22:33:36.985+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-29-29.pdf already broken down into
[2025-01-24T22:33:36.986+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-30-30.pdf already broken down into
[2025-01-24T22:33:36.986+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-31-31.pdf already broken down into
[2025-01-24T22:33:36.986+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-32-32.pdf already broken down into
[2025-01-24T22:33:36.987+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-33-33.pdf already broken down into
[2025-01-24T22:33:36.987+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-34-34.pdf already broken down into
[2025-01-24T22:33:36.987+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-35-35.pdf already broken down into
[2025-01-24T22:33:36.988+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-36-36.pdf already broken down into
[2025-01-24T22:33:36.988+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-37-37.pdf already broken down into
[2025-01-24T22:33:36.989+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-38-38.pdf already broken down into
[2025-01-24T22:33:36.989+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-39-39.pdf already broken down into
[2025-01-24T22:33:36.989+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-40-40.pdf already broken down into
[2025-01-24T22:33:36.990+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-41-41.pdf already broken down into
[2025-01-24T22:33:36.990+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-42-42.pdf already broken down into
[2025-01-24T22:33:36.991+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-43-43.pdf already broken down into
[2025-01-24T22:33:36.991+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-44-44.pdf already broken down into
[2025-01-24T22:33:36.991+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-07_7149-page-45-45.pdf already broken down into
[2025-01-24T22:33:36.992+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-12-10_7150.pdf into multiple PDF single pages
[2025-01-24T22:33:37.071+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-0-0.pdf already broken down into
[2025-01-24T22:33:37.072+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-1-1.pdf already broken down into
[2025-01-24T22:33:37.072+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-2-2.pdf already broken down into
[2025-01-24T22:33:37.073+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-3-3.pdf already broken down into
[2025-01-24T22:33:37.073+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-4-4.pdf already broken down into
[2025-01-24T22:33:37.074+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-5-5.pdf already broken down into
[2025-01-24T22:33:37.074+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-6-6.pdf already broken down into
[2025-01-24T22:33:37.075+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-7-7.pdf already broken down into
[2025-01-24T22:33:37.075+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-8-8.pdf already broken down into
[2025-01-24T22:33:37.076+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-9-9.pdf already broken down into
[2025-01-24T22:33:37.077+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-10-10.pdf already broken down into
[2025-01-24T22:33:37.077+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-11-11.pdf already broken down into
[2025-01-24T22:33:37.077+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-12-12.pdf already broken down into
[2025-01-24T22:33:37.078+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-13-13.pdf already broken down into
[2025-01-24T22:33:37.078+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-14-14.pdf already broken down into
[2025-01-24T22:33:37.079+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-15-15.pdf already broken down into
[2025-01-24T22:33:37.079+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-16-16.pdf already broken down into
[2025-01-24T22:33:37.079+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-17-17.pdf already broken down into
[2025-01-24T22:33:37.080+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-18-18.pdf already broken down into
[2025-01-24T22:33:37.080+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-19-19.pdf already broken down into
[2025-01-24T22:33:37.081+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-20-20.pdf already broken down into
[2025-01-24T22:33:37.081+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-10_7150-page-21-21.pdf already broken down into
[2025-01-24T22:33:37.082+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-12-11_7151.pdf into multiple PDF single pages
[2025-01-24T22:33:37.267+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-0-0.pdf already broken down into
[2025-01-24T22:33:37.267+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-1-1.pdf already broken down into
[2025-01-24T22:33:37.268+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-2-2.pdf already broken down into
[2025-01-24T22:33:37.268+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-3-3.pdf already broken down into
[2025-01-24T22:33:37.269+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-4-4.pdf already broken down into
[2025-01-24T22:33:37.269+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-5-5.pdf already broken down into
[2025-01-24T22:33:37.270+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-6-6.pdf already broken down into
[2025-01-24T22:33:37.270+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-7-7.pdf already broken down into
[2025-01-24T22:33:37.271+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-8-8.pdf already broken down into
[2025-01-24T22:33:37.271+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-9-9.pdf already broken down into
[2025-01-24T22:33:37.271+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-10-10.pdf already broken down into
[2025-01-24T22:33:37.272+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-11-11.pdf already broken down into
[2025-01-24T22:33:37.272+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-12-12.pdf already broken down into
[2025-01-24T22:33:37.273+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-13-13.pdf already broken down into
[2025-01-24T22:33:37.273+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-14-14.pdf already broken down into
[2025-01-24T22:33:37.274+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-15-15.pdf already broken down into
[2025-01-24T22:33:37.274+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-16-16.pdf already broken down into
[2025-01-24T22:33:37.275+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-17-17.pdf already broken down into
[2025-01-24T22:33:37.275+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-18-18.pdf already broken down into
[2025-01-24T22:33:37.276+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-19-19.pdf already broken down into
[2025-01-24T22:33:37.276+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-20-20.pdf already broken down into
[2025-01-24T22:33:37.277+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-21-21.pdf already broken down into
[2025-01-24T22:33:37.277+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-22-22.pdf already broken down into
[2025-01-24T22:33:37.277+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-23-23.pdf already broken down into
[2025-01-24T22:33:37.278+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-24-24.pdf already broken down into
[2025-01-24T22:33:37.278+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-25-25.pdf already broken down into
[2025-01-24T22:33:37.279+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-26-26.pdf already broken down into
[2025-01-24T22:33:37.279+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-27-27.pdf already broken down into
[2025-01-24T22:33:37.280+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-28-28.pdf already broken down into
[2025-01-24T22:33:37.280+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-29-29.pdf already broken down into
[2025-01-24T22:33:37.281+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-30-30.pdf already broken down into
[2025-01-24T22:33:37.281+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-31-31.pdf already broken down into
[2025-01-24T22:33:37.282+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-32-32.pdf already broken down into
[2025-01-24T22:33:37.282+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-33-33.pdf already broken down into
[2025-01-24T22:33:37.283+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-34-34.pdf already broken down into
[2025-01-24T22:33:37.283+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-11_7151-page-35-35.pdf already broken down into
[2025-01-24T22:33:37.284+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-12-12_7152.pdf into multiple PDF single pages
[2025-01-24T22:33:37.370+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-0-0.pdf already broken down into
[2025-01-24T22:33:37.370+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-1-1.pdf already broken down into
[2025-01-24T22:33:37.371+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-2-2.pdf already broken down into
[2025-01-24T22:33:37.371+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-3-3.pdf already broken down into
[2025-01-24T22:33:37.372+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-4-4.pdf already broken down into
[2025-01-24T22:33:37.372+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-5-5.pdf already broken down into
[2025-01-24T22:33:37.373+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-6-6.pdf already broken down into
[2025-01-24T22:33:37.373+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-7-7.pdf already broken down into
[2025-01-24T22:33:37.373+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-8-8.pdf already broken down into
[2025-01-24T22:33:37.374+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-9-9.pdf already broken down into
[2025-01-24T22:33:37.374+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-10-10.pdf already broken down into
[2025-01-24T22:33:37.375+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-11-11.pdf already broken down into
[2025-01-24T22:33:37.375+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-12-12.pdf already broken down into
[2025-01-24T22:33:37.375+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-13-13.pdf already broken down into
[2025-01-24T22:33:37.376+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-14-14.pdf already broken down into
[2025-01-24T22:33:37.376+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-15-15.pdf already broken down into
[2025-01-24T22:33:37.377+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-16-16.pdf already broken down into
[2025-01-24T22:33:37.377+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-17-17.pdf already broken down into
[2025-01-24T22:33:37.377+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-18-18.pdf already broken down into
[2025-01-24T22:33:37.378+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-19-19.pdf already broken down into
[2025-01-24T22:33:37.378+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-20-20.pdf already broken down into
[2025-01-24T22:33:37.379+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-21-21.pdf already broken down into
[2025-01-24T22:33:37.379+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-22-22.pdf already broken down into
[2025-01-24T22:33:37.379+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-23-23.pdf already broken down into
[2025-01-24T22:33:37.380+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-12_7152-page-24-24.pdf already broken down into
[2025-01-24T22:33:37.380+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-12-13_7153.pdf into multiple PDF single pages
[2025-01-24T22:33:37.493+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-0-0.pdf already broken down into
[2025-01-24T22:33:37.494+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-1-1.pdf already broken down into
[2025-01-24T22:33:37.494+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-2-2.pdf already broken down into
[2025-01-24T22:33:37.495+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-3-3.pdf already broken down into
[2025-01-24T22:33:37.495+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-4-4.pdf already broken down into
[2025-01-24T22:33:37.495+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-5-5.pdf already broken down into
[2025-01-24T22:33:37.496+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-6-6.pdf already broken down into
[2025-01-24T22:33:37.496+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-7-7.pdf already broken down into
[2025-01-24T22:33:37.497+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-8-8.pdf already broken down into
[2025-01-24T22:33:37.497+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-9-9.pdf already broken down into
[2025-01-24T22:33:37.498+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-10-10.pdf already broken down into
[2025-01-24T22:33:37.498+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-11-11.pdf already broken down into
[2025-01-24T22:33:37.498+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-12-12.pdf already broken down into
[2025-01-24T22:33:37.499+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-13-13.pdf already broken down into
[2025-01-24T22:33:37.499+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-14-14.pdf already broken down into
[2025-01-24T22:33:37.500+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-15-15.pdf already broken down into
[2025-01-24T22:33:37.500+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-16-16.pdf already broken down into
[2025-01-24T22:33:37.500+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-17-17.pdf already broken down into
[2025-01-24T22:33:37.501+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-18-18.pdf already broken down into
[2025-01-24T22:33:37.501+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-19-19.pdf already broken down into
[2025-01-24T22:33:37.502+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-20-20.pdf already broken down into
[2025-01-24T22:33:37.502+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-21-21.pdf already broken down into
[2025-01-24T22:33:37.503+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-22-22.pdf already broken down into
[2025-01-24T22:33:37.503+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-23-23.pdf already broken down into
[2025-01-24T22:33:37.504+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-24-24.pdf already broken down into
[2025-01-24T22:33:37.504+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-25-25.pdf already broken down into
[2025-01-24T22:33:37.505+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-26-26.pdf already broken down into
[2025-01-24T22:33:37.505+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-27-27.pdf already broken down into
[2025-01-24T22:33:37.505+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-28-28.pdf already broken down into
[2025-01-24T22:33:37.506+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-29-29.pdf already broken down into
[2025-01-24T22:33:37.506+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-30-30.pdf already broken down into
[2025-01-24T22:33:37.507+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-31-31.pdf already broken down into
[2025-01-24T22:33:37.507+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-32-32.pdf already broken down into
[2025-01-24T22:33:37.507+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-13_7153-page-33-33.pdf already broken down into
[2025-01-24T22:33:37.508+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-12-14_7154.pdf into multiple PDF single pages
[2025-01-24T22:33:37.660+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-0-0.pdf already broken down into
[2025-01-24T22:33:37.661+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-1-1.pdf already broken down into
[2025-01-24T22:33:37.661+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-2-2.pdf already broken down into
[2025-01-24T22:33:37.661+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-3-3.pdf already broken down into
[2025-01-24T22:33:37.662+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-4-4.pdf already broken down into
[2025-01-24T22:33:37.662+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-5-5.pdf already broken down into
[2025-01-24T22:33:37.663+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-6-6.pdf already broken down into
[2025-01-24T22:33:37.663+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-7-7.pdf already broken down into
[2025-01-24T22:33:37.663+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-8-8.pdf already broken down into
[2025-01-24T22:33:37.664+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-9-9.pdf already broken down into
[2025-01-24T22:33:37.664+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-10-10.pdf already broken down into
[2025-01-24T22:33:37.664+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-11-11.pdf already broken down into
[2025-01-24T22:33:37.665+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-12-12.pdf already broken down into
[2025-01-24T22:33:37.665+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-13-13.pdf already broken down into
[2025-01-24T22:33:37.665+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-14-14.pdf already broken down into
[2025-01-24T22:33:37.666+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-15-15.pdf already broken down into
[2025-01-24T22:33:37.666+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-16-16.pdf already broken down into
[2025-01-24T22:33:37.667+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-17-17.pdf already broken down into
[2025-01-24T22:33:37.667+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-18-18.pdf already broken down into
[2025-01-24T22:33:37.667+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-19-19.pdf already broken down into
[2025-01-24T22:33:37.668+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-20-20.pdf already broken down into
[2025-01-24T22:33:37.668+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-21-21.pdf already broken down into
[2025-01-24T22:33:37.669+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-22-22.pdf already broken down into
[2025-01-24T22:33:37.669+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-23-23.pdf already broken down into
[2025-01-24T22:33:37.669+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-24-24.pdf already broken down into
[2025-01-24T22:33:37.670+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-25-25.pdf already broken down into
[2025-01-24T22:33:37.670+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-26-26.pdf already broken down into
[2025-01-24T22:33:37.671+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-27-27.pdf already broken down into
[2025-01-24T22:33:37.671+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-28-28.pdf already broken down into
[2025-01-24T22:33:37.671+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-29-29.pdf already broken down into
[2025-01-24T22:33:37.672+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-30-30.pdf already broken down into
[2025-01-24T22:33:37.672+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-14_7154-page-31-31.pdf already broken down into
[2025-01-24T22:33:37.672+0000] {logging_mixin.py:190} INFO - Breaking down pdf 3106200_2024-12-17_7155.pdf into multiple PDF single pages
[2025-01-24T22:33:37.765+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-0-0.pdf already broken down into
[2025-01-24T22:33:37.766+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-1-1.pdf already broken down into
[2025-01-24T22:33:37.766+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-2-2.pdf already broken down into
[2025-01-24T22:33:37.766+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-3-3.pdf already broken down into
[2025-01-24T22:33:37.767+0000] {logging_mixin.py:190} INFO - File 3106200_2024-12-17_7155-page-4-4.pdf already broken down into
